Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_42_241,VGND,li1,117.0700,125.1200,0.000093
FILLER_42_233,VGND,li1,114.5400,125.1200,0.000093
FILLER_42_217,VGND,li1,106.0300,125.1200,0.000093
FILLER_42_209,VGND,li1,103.5000,125.1200,0.000093
FILLER_42_197,VGND,li1,98.9000,125.1200,0.000093
FILLER_42_193,VGND,li1,94.9900,125.1200,0.000092
FILLER_42_181,VGND,li1,91.5400,125.1200,0.000091
FILLER_42_169,VGND,li1,86.0200,125.1200,0.000089
FILLER_42_165,VGND,li1,82.1100,125.1200,0.000086
FILLER_42_153,VGND,li1,78.6600,125.1200,0.000084
FILLER_42_141,VGND,li1,73.1400,125.1200,0.000081
FILLER_42_138,VGND,li1,69.4600,125.1200,0.000079
FILLER_42_125,VGND,li1,63.7100,125.1200,0.000073
FILLER_42_113,VGND,li1,60.2600,125.1200,0.000070
FILLER_42_111,VGND,li1,56.8100,125.1200,0.000066
FILLER_42_103,VGND,li1,54.7400,125.1200,0.000064
FILLER_42_91,VGND,li1,50.1400,125.1200,0.000057
FILLER_42_85,VGND,li1,45.3100,125.1200,0.000050
FILLER_42_81,VGND,li1,43.4700,125.1200,0.000046
FILLER_42_69,VGND,li1,40.0200,125.1200,0.000043
FILLER_42_57,VGND,li1,34.5000,125.1200,0.000035
FILLER_42_53,VGND,li1,30.5900,125.1200,0.000029
FILLER_42_41,VGND,li1,27.1400,125.1200,0.000022
FILLER_42_29,VGND,li1,21.6200,125.1200,0.000019
FILLER_42_22,VGND,li1,17.0200,125.1200,0.000021
FILLER_42_15,VGND,li1,13.3400,125.1200,0.000021
FILLER_42_3,VGND,li1,9.6600,125.1200,0.000021
FILLER_41_249,VGND,li1,120.7500,125.1200,0.000093
FILLER_41_237,VGND,li1,117.3000,125.1200,0.000093
FILLER_41_225,VGND,li1,111.7800,125.1200,0.000093
FILLER_41_223,VGND,li1,108.3300,125.1200,0.000093
FILLER_41_211,VGND,li1,105.3400,125.1200,0.000093
FILLER_41_189,VGND,li1,92.9200,125.1200,0.000091
