net,length_um
clknet_0_sys_clk,187.54µm
net23,155.62µm
clknet_3_7__leaf_sys_clk,149.825µm
net63,137.91µm
clknet_3_5__leaf_sys_clk,136.94µm
net33,129µm
net25,126.7µm
clknet_3_0__leaf_sys_clk,122.62µm
net28,119.83µm
clknet_3_4__leaf_sys_clk,119.04µm
net21,118.24µm
net29,117.66µm
net62,116.775µm
net26,115.88µm
net19,115.86µm
net34,113.88µm
net51,113.8µm
net52,113.74µm
net32,112.93µm
net39,112.63µm
net44,112.62µm
clknet_3_3__leaf_sys_clk,111.32µm
_197_,110.96µm
_153_,110.79µm
net61,109.77µm
net27,107.66µm
net31,107.57µm
net45,104.595µm
net24,103.4µm
net4,101.5µm
net64,100.81µm
_193_,98.37µm
_260_,97.9µm
net54,97.64µm
_194_,97.46µm
clknet_3_1__leaf_sys_clk,97.02µm
net57,96.38µm
net53,95.4µm
net40,94.435µm
_148_,94.24µm
net48,91.21µm
net42,90.85µm
sys_clk,89.54µm
clknet_3_6__leaf_sys_clk,89.42µm
net41,88.86µm
net43,88.6µm
net56,87.35µm
net55,85.65µm
net47,85.04µm
_205_,83.22µm
_204_,80.74µm
net35,80.12µm
net38,78.18µm
clknet_3_2__leaf_sys_clk,77.84µm
_258_,77.8µm
net20,77.04µm
_155_,75.84µm
net2,75.51µm
net50,73.05µm
net49,72.3µm
bit_clk_sel,70.6µm
net46,69.74µm
net58,67.96µm
u_spi.pay\[0\],67.87µm
net60,65.7µm
net37,65.26µm
_172_,63.82µm
u_spi.miso_buffer\[11\],62.72µm
u_controller.state\[1\],61.58µm
net36,59.85µm
u_controller.state\[0\],57.66µm
_242_,57.36µm
_156_,56.14µm
_261_,54.3µm
u_spi.data_reg\[11\],52.92µm
net30,51.38µm
u_spi.bit_cnt\[0\],50.54µm
u_spi.state\[0\],50.115µm
u_spi.pay\[10\],48.16µm
u_spi.pay\[3\],46.14µm
_192_,45.62µm
net59,45.39µm
u_spi.pay\[1\],45.14µm
u_spi.state\[1\],44.76µm
u_controller.counter_reg\[7\],44.26µm
_195_,43.5µm
eoc_flag,42.16µm
u_controller.counter_reg\[3\],42.16µm
u_controller.counter_reg\[10\],40.1µm
ctrl_reg\[8\],39.9µm
bit_start,39.56µm
clk_cnt\[1\],39.28µm
bit_auto,39.25µm
u_spi.sck_s2,39.12µm
_149_,37.94µm
_150_,37.78µm
u_controller.counter_reg\[6\],37.62µm
u_spi.sck_s1,37.54µm
ctrl_reg\[9\],37.3µm
bit_int_en,37.26µm
u_spi.addr\[0\],37.16µm
u_controller.counter_reg\[8\],36.06µm
u_spi.pay\[2\],35.6µm
u_controller.counter_reg\[1\],33.92µm
u_spi.data_reg\[0\],33.88µm
u_spi.bit_cnt\[1\],33.58µm
u_spi.data_reg\[1\],32.44µm
_152_,32.34µm
adc_data_out\[0\],32.34µm
u_controller.reset_,32.17µm
u_controller.counter_reg\[2\],32.05µm
clk_cnt\[2\],31.96µm
u_spi.cmd\[0\],31.94µm
u_controller.dac_reg\[6\],31.82µm
ctrl_reg\[11\],31.58µm
adc_data_out\[11\],31.2µm
u_spi.pay\[8\],30.73µm
u_controller.counter_reg\[11\],30.5µm
miso,30.28µm
u_spi.data_reg\[5\],30.18µm
net93,29.66µm
clk_cnt\[0\],29.4µm
_207_,28.42µm
_208_,28.18µm
u_controller.counter_reg\[4\],28.08µm
_203_,27.74µm
adc_data_out\[10\],27.42µm
_151_,27.34µm
bit_en,27.22µm
ctrl_reg\[7\],27.1µm
u_spi.pay\[7\],26.68µm
net1,26.62µm
u_spi.data_reg\[3\],26.42µm
u_spi.data_reg\[4\],26.42µm
