Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_42_241,VPWR,li1,117.0700,127.8400,1.799999
FILLER_42_229,VPWR,li1,113.6200,127.8400,1.799999
FILLER_42_223,VPWR,li1,108.3300,127.8400,1.799999
FILLER_42_219,VPWR,li1,107.1800,127.8400,1.799999
FILLER_42_209,VPWR,li1,102.1200,127.8400,1.799999
FILLER_42_197,VPWR,li1,98.9000,127.8400,1.799999
FILLER_42_193,VPWR,li1,94.9900,127.8400,1.799999
FILLER_42_181,VPWR,li1,91.5400,127.8400,1.799999
FILLER_42_169,VPWR,li1,86.0200,127.8400,1.799999
FILLER_42_165,VPWR,li1,82.1100,127.8400,1.799999
FILLER_42_153,VPWR,li1,78.6600,127.8400,1.799999
FILLER_42_141,VPWR,li1,73.1400,127.8400,1.799999
FILLER_42_138,VPWR,li1,69.4600,127.8400,1.799999
FILLER_42_127,VPWR,li1,64.1700,127.8400,1.799999
FILLER_42_123,VPWR,li1,63.0200,127.8400,1.799999
FILLER_42_113,VPWR,li1,58.4200,127.8400,1.799999
FILLER_42_109,VPWR,li1,56.3500,127.8400,1.799999
FILLER_42_97,VPWR,li1,52.9000,127.8400,1.799999
FILLER_42_85,VPWR,li1,47.3800,127.8400,1.799999
FILLER_42_69,VPWR,li1,40.0200,127.8400,1.799999
FILLER_42_57,VPWR,li1,34.5000,127.8400,1.799999
FILLER_42_53,VPWR,li1,30.5900,127.8400,1.800000
FILLER_42_41,VPWR,li1,27.1400,127.8400,1.800000
FILLER_42_29,VPWR,li1,21.6200,127.8400,1.800000
FILLER_42_27,VPWR,li1,18.1700,127.8400,1.800000
FILLER_42_15,VPWR,li1,15.1800,127.8400,1.800000
FILLER_42_3,VPWR,li1,9.6600,127.8400,1.800000
FILLER_41_249,VPWR,li1,120.7500,122.4000,1.799966
FILLER_41_237,VPWR,li1,117.3000,122.4000,1.799966
FILLER_41_225,VPWR,li1,111.7800,122.4000,1.799966
FILLER_41_221,VPWR,li1,107.8700,122.4000,1.799966
FILLER_41_195,VPWR,li1,96.6000,122.4000,1.799966
FILLER_41_183,VPWR,li1,92.4600,122.4000,1.799967
FILLER_41_177,VPWR,li1,87.4000,122.4000,1.799967
FILLER_41_169,VPWR,li1,84.1800,122.4000,1.799968
FILLER_41_167,VPWR,li1,82.5700,122.4000,1.799968
FILLER_41_163,VPWR,li1,81.4200,122.4000,1.799968
FILLER_41_150,VPWR,li1,75.9000,122.4000,1.799970
FILLER_41_143,VPWR,li1,71.5300,122.4000,1.799971
FILLER_41_111,VPWR,li1,56.8100,122.4000,1.799975
FILLER_41_104,VPWR,li1,53.5900,122.4000,1.799976
FILLER_41_98,VPWR,li1,51.9800,122.4000,1.799977
FILLER_41_77,VPWR,li1,41.1700,122.4000,1.799982
FILLER_41_54,VPWR,li1,30.8200,122.4000,1.799987
FILLER_41_36,VPWR,li1,24.8400,122.4000,1.799992
FILLER_41_27,VPWR,li1,19.3200,122.4000,1.799993
FILLER_41_15,VPWR,li1,15.1800,122.4000,1.799993
FILLER_41_3,VPWR,li1,9.6600,122.4000,1.799993
FILLER_40_251,VPWR,li1,121.2100,122.4000,1.799966
FILLER_40_247,VPWR,li1,120.0600,122.4000,1.799966
FILLER_40_235,VPWR,li1,116.3800,122.4000,1.799966
FILLER_40_223,VPWR,li1,110.8600,122.4000,1.799966
FILLER_40_197,VPWR,li1,96.8300,122.4000,1.799966
FILLER_40_192,VPWR,li1,94.7600,122.4000,1.799966
FILLER_40_165,VPWR,li1,81.6500,122.4000,1.799968
FILLER_40_161,VPWR,li1,80.5000,122.4000,1.799969
FILLER_40_97,VPWR,li1,50.8300,122.4000,1.799977
FILLER_40_85,VPWR,li1,47.3800,122.4000,1.799979
FILLER_40_83,VPWR,li1,43.9300,122.4000,1.799981
FILLER_40_49,VPWR,li1,28.5200,122.4000,1.799989
FILLER_40_27,VPWR,li1,18.1700,122.4000,1.799993
FILLER_40_15,VPWR,li1,15.1800,122.4000,1.799993
FILLER_40_3,VPWR,li1,9.6600,122.4000,1.799993
FILLER_39_245,VPWR,li1,118.9100,116.9600,1.799984
FILLER_39_237,VPWR,li1,116.3800,116.9600,1.799984
FILLER_39_225,VPWR,li1,111.7800,116.9600,1.799984
FILLER_39_220,VPWR,li1,107.6400,116.9600,1.799984
FILLER_39_206,VPWR,li1,101.2000,116.9600,1.799984
FILLER_39_194,VPWR,li1,97.5200,116.9600,1.799984
FILLER_39_169,VPWR,li1,83.7200,116.9600,1.799984
FILLER_39_161,VPWR,li1,80.0400,116.9600,1.799985
FILLER_39_140,VPWR,li1,70.1500,116.9600,1.799986
FILLER_39_133,VPWR,li1,66.9300,116.9600,1.799986
FILLER_39_97,VPWR,li1,52.9000,116.9600,1.799988
FILLER_39_85,VPWR,li1,47.3800,116.9600,1.799989
FILLER_39_81,VPWR,li1,43.0100,116.9600,1.799991
FILLER_39_77,VPWR,li1,41.8600,116.9600,1.799991
FILLER_39_51,VPWR,li1,29.4400,116.9600,1.799994
FILLER_39_39,VPWR,li1,26.2200,116.9600,1.799995
